id,url,title,date,imageUrl,thumbUrl
315310,http://lbry-web-007.amnh.org/digital/items/show/66267,"Mounted skeleton of Styracosaurus, left side, July, 1937",1937-07,http://lbry-web-007.amnh.org/digital/files/original/6a96419dd874295f8ece8bc33cbd27bd.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/6a96419dd874295f8ece8bc33cbd27bd.jpg
315284,http://lbry-web-007.amnh.org/digital/items/show/66265,"Dr. Walter Granger examining model of skull of Sinanthropus Pekiensis, June, 1937",1937-06,http://lbry-web-007.amnh.org/digital/files/original/19cfab0086927edf54786638192c636f.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/19cfab0086927edf54786638192c636f.jpg
315253,http://lbry-web-007.amnh.org/digital/items/show/66264,"Styracosaurus jaw with ruler, May, 1937",1937-05,http://lbry-web-007.amnh.org/digital/files/original/d75b9afd06d548dc92c7f8ef1708dfef.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/d75b9afd06d548dc92c7f8ef1708dfef.jpg
315248,http://lbry-web-007.amnh.org/digital/items/show/66263,"Mr. Narahara at work on miniature roup showing basswood bark industry, May, 1937",1937-05,http://lbry-web-007.amnh.org/digital/files/original/3535c0fba441bdd163ab6e3216bd3138.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/3535c0fba441bdd163ab6e3216bd3138.jpg
315147,http://lbry-web-007.amnh.org/digital/items/show/66262,"Tools used by a paleontologist, March, 1937",1937-03,http://lbry-web-007.amnh.org/digital/files/original/6141ca57e61e85bafd8dbdb3f33cfe5d.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/6141ca57e61e85bafd8dbdb3f33cfe5d.jpg
315136,http://lbry-web-007.amnh.org/digital/items/show/66261,"Mr. Alastair Brown working on skeleton of Pterodactylus elegans, February, 1937",1937-02,http://lbry-web-007.amnh.org/digital/files/original/11d1f8594070f73802ac84f34957453b.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/11d1f8594070f73802ac84f34957453b.jpg
315111,http://lbry-web-007.amnh.org/digital/items/show/66260,"Skeleton of Hesperornis, 1937",1937-01,http://lbry-web-007.amnh.org/digital/files/original/49404f71f6846c04990aae485510fe18.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/49404f71f6846c04990aae485510fe18.jpg
315078,http://lbry-web-007.amnh.org/digital/items/show/66259,"Large Male Gorilla, Gorilla group, African Hall, American Museum of Natural History, 1936",1936-11,http://lbry-web-007.amnh.org/digital/files/original/96a57afdad5320b01b5e27591a150b0b.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/96a57afdad5320b01b5e27591a150b0b.jpg
315066,http://lbry-web-007.amnh.org/digital/items/show/66258,"Casting skull of Styracosaurus, Otto Falkenbach at left, December, 1936",1936-12,http://lbry-web-007.amnh.org/digital/files/original/aa6c5da26f473ebb733a09a8b9de25f2.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/aa6c5da26f473ebb733a09a8b9de25f2.jpg
315053,http://lbry-web-007.amnh.org/digital/items/show/66257,"Skeletons showing The Evolution of the Horse, exhibit, October, 1936",1936-10,http://lbry-web-007.amnh.org/digital/files/original/93ddb4947f5542b5216fb61195cfe418.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/93ddb4947f5542b5216fb61195cfe418.jpg
314924,http://lbry-web-007.amnh.org/digital/items/show/66256,"Hayden Planetarium exterior, American Museum of Natural History, May, 1936",1936-05,http://lbry-web-007.amnh.org/digital/files/original/bb56949723df0c46ca08e8f9c64fbb8f.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/bb56949723df0c46ca08e8f9c64fbb8f.jpg
314878,http://lbry-web-007.amnh.org/digital/items/show/66255,"Skeleton of Emperor penguin (Aptenodytes forsteri), April, 1936",1936-04,http://lbry-web-007.amnh.org/digital/files/original/9d405e11825412d104dcbfecabb5eef8.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/9d405e11825412d104dcbfecabb5eef8.jpg
